MSSubClass,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,SalePrice
60,RL,8450,Reg,Inside,CollgCr,1Fam,2Story,7,5,208500
20,RL,9600,Reg,FR2,Veenker,1Fam,1Story,6,8,181500
60,RL,11250,IR1,Inside,CollgCr,1Fam,2Story,7,5,223500
70,RL,9550,IR1,Corner,Crawfor,1Fam,2Story,7,5,140000
60,RL,14260,IR1,FR2,NoRidge,1Fam,2Story,8,5,250000
50,RL,14115,IR1,Inside,Mitchel,1Fam,1.5Fin,5,5,143000
20,RL,10084,Reg,Inside,Somerst,1Fam,1Story,8,5,307000
60,RL,10382,IR1,Corner,NWAmes,1Fam,2Story,7,6,200000
50,RM,6120,Reg,Inside,OldTown,1Fam,1.5Fin,7,5,129900
190,RL,7420,Reg,Corner,BrkSide,2fmCon,1.5Unf,5,6,118000
20,RL,11200,Reg,Inside,Sawyer,1Fam,1Story,5,5,129500
60,RL,11924,IR1,Inside,NridgHt,1Fam,2Story,9,5,345000
20,RL,12968,IR2,Inside,Sawyer,1Fam,1Story,5,6,144000
20,RL,10652,IR1,Inside,CollgCr,1Fam,1Story,7,5,279500
20,RL,10920,IR1,Corner,NAmes,1Fam,1Story,6,5,157000
45,RM,6120,Reg,Corner,BrkSide,1Fam,1.5Unf,7,8,132000
20,RL,11241,IR1,CulDSac,NAmes,1Fam,1Story,6,7,149000
20,RL,13695,Reg,Inside,SawyerW,1Fam,1Story,5,5,159000
20,RL,7560,Reg,Inside,NAmes,1Fam,1Story,5,6,139000
60,RL,14215,IR1,Corner,NridgHt,1Fam,2Story,8,5,325300
45,RM,7449,Reg,Inside,IDOTRR,1Fam,1.5Unf,7,7,139400
20,RL,9742,Reg,Inside,CollgCr,1Fam,1Story,8,5,230000
120,RM,4224,Reg,Inside,MeadowV,TwnhsE,1Story,5,7,129900
20,RL,8246,IR1,Inside,Sawyer,1Fam,1Story,5,8,154000
20,RL,14230,Reg,Corner,NridgHt,1Fam,1Story,8,5,256300
20,RL,7200,Reg,Corner,NAmes,1Fam,1Story,5,7,134800
20,RL,11478,Reg,Inside,NridgHt,1Fam,1Story,8,5,306000
20,RL,16321,IR1,CulDSac,NAmes,1Fam,1Story,5,6,207500
30,RM,6324,IR1,Inside,BrkSide,1Fam,1Story,4,6,68500
70,C (all),8500,Reg,Inside,IDOTRR,1Fam,2Story,4,4,40000
20,RL,8544,IR1,CulDSac,Sawyer,1Fam,1Story,5,6,149350
20,RL,11049,Reg,Corner,CollgCr,1Fam,1Story,8,5,179900
20,RL,10552,IR1,Inside,NAmes,1Fam,1Story,5,5,165500
120,RL,7313,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,277500
60,RL,13418,Reg,Inside,NridgHt,1Fam,2Story,8,5,309000
20,RL,10859,Reg,Corner,CollgCr,1Fam,1Story,5,5,145000
20,RL,8532,Reg,Inside,NAmes,1Fam,1Story,5,6,153000
20,RL,7922,Reg,Inside,NAmes,1Fam,1Story,5,7,109000
20,RL,8658,Reg,Inside,NAmes,1Fam,1Story,6,5,160000
20,RL,16905,Reg,Inside,Timber,1Fam,1Story,5,6,170000
85,RL,9180,IR1,CulDSac,SawyerW,1Fam,SFoyer,5,7,144000
20,RL,9200,IR1,CulDSac,CollgCr,1Fam,1Story,5,6,130250
20,RL,7945,Reg,Inside,NAmes,1Fam,1Story,5,6,141000
120,RL,7658,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,319900
50,RL,12822,IR1,CulDSac,Mitchel,1Fam,1.5Fin,7,5,239686
20,FV,11096,Reg,Inside,Somerst,1Fam,1Story,8,5,249700
20,RL,7742,Reg,Inside,Sawyer,1Fam,1Story,5,7,127000
60,RL,13869,IR2,Corner,Gilbert,1Fam,2Story,6,6,177000
50,RM,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,6,6,114500
90,RM,8472,IR2,Corner,IDOTRR,Duplex,1Story,5,5,110000
20,RL,50271,IR1,Inside,Veenker,1Fam,1Story,9,5,385000
80,RL,7134,Reg,Inside,NAmes,1Fam,SLvl,5,5,130000
20,RL,10175,IR1,Inside,NAmes,1Fam,1Story,6,5,180500
160,FV,2645,Reg,Inside,Somerst,Twnhs,2Story,8,5,172500
60,RL,11645,IR1,Corner,CollgCr,1Fam,2Story,7,5,196500
60,RL,13682,IR2,CulDSac,StoneBr,1Fam,2Story,10,5,438780
20,RL,7200,Reg,Inside,CollgCr,1Fam,1Story,5,7,124900
20,RL,13072,Reg,Inside,SawyerW,1Fam,1Story,6,5,158000
75,RM,7200,Reg,Inside,IDOTRR,1Fam,2.5Unf,5,7,101000
120,RL,6442,IR1,Inside,NridgHt,TwnhsE,1Story,8,5,202500
70,RM,10300,IR1,Inside,OldTown,1Fam,2Story,7,6,140000
60,RL,9375,Reg,Inside,CollgCr,1Fam,2Story,7,5,219500
60,RL,9591,Reg,Inside,NridgHt,1Fam,2Story,8,5,317000
20,RL,19900,Reg,Inside,NAmes,1Fam,1Story,7,5,180000
20,RL,10665,IR1,Inside,CollgCr,1Fam,1Story,7,5,226000
30,RM,4608,Reg,Corner,OldTown,1Fam,1Story,4,6,80000
50,RL,15593,Reg,Corner,ClearCr,1Fam,1.5Fin,7,4,225000
20,RL,13651,IR1,Inside,NAmes,1Fam,1Story,7,6,244000
20,RL,7599,Reg,Corner,Mitchel,1Fam,1Story,4,6,129500
60,RL,10141,IR1,Corner,Gilbert,1Fam,2Story,7,5,185000
20,RL,10200,Reg,Inside,NAmes,1Fam,1Story,5,7,144900
50,RM,5790,Reg,Corner,OldTown,1Fam,2Story,3,6,107400
180,RM,1596,Reg,Inside,MeadowV,Twnhs,SLvl,4,5,91000
20,RL,8475,IR1,Inside,NAmes,1Fam,1Story,4,7,135750
50,RM,8635,Reg,Inside,BrkSide,1Fam,1.5Fin,5,5,127000
50,RM,10440,Reg,Corner,OldTown,1Fam,2Story,5,6,110000
60,RL,13000,Reg,Corner,NAmes,1Fam,2Story,6,6,193500
120,RM,4500,Reg,FR2,Mitchel,TwnhsE,1Story,6,5,153500
20,RL,10206,Reg,Inside,Somerst,1Fam,1Story,8,5,245000
20,RL,8892,IR1,Inside,NAmes,1Fam,1Story,5,5,126500
80,RL,8530,IR1,Inside,Gilbert,1Fam,SLvl,7,5,168500
60,RL,16059,Reg,Corner,NoRidge,1Fam,2Story,8,5,260000
60,RL,11911,IR2,Inside,Gilbert,1Fam,2Story,6,5,174000
160,FV,3951,Reg,Corner,Somerst,TwnhsE,2Story,6,5,164500
20,RL,8500,Reg,Inside,NAmes,1Fam,1Story,5,3,98600
30,RL,13360,IR1,Inside,Crawfor,1Fam,1Story,5,7,163500
190,C (all),7200,Reg,Corner,OldTown,2fmCon,2.5Unf,6,6,133900
60,RL,9337,IR1,Inside,CollgCr,1Fam,2Story,6,5,204750
60,RL,9765,IR2,Corner,Gilbert,1Fam,2Story,6,8,185000
20,RL,10264,IR1,Inside,CollgCr,1Fam,1Story,7,5,214000
20,RL,10921,Reg,Inside,Edwards,1Fam,1Story,4,5,94750
30,RL,10625,Reg,Corner,Edwards,1Fam,1Story,5,5,83000
