YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,SalePrice
2003,2003,Gable,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,208500
1976,1976,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,181500
2001,2002,Gable,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,223500
1915,1970,Gable,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,140000
2000,2000,Gable,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,250000
1993,1995,Gable,VinylSd,VinylSd,None,0,TA,TA,Wood,143000
2004,2005,Gable,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,307000
1973,1973,Gable,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,200000
1931,1950,Gable,BrkFace,Wd Shng,None,0,TA,TA,BrkTil,129900
1939,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,118000
1965,1965,Hip,HdBoard,HdBoard,None,0,TA,TA,CBlock,129500
2005,2006,Hip,WdShing,Wd Shng,Stone,286,Ex,TA,PConc,345000
1962,1962,Hip,HdBoard,Plywood,None,0,TA,TA,CBlock,144000
2006,2007,Gable,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,279500
1960,1960,Hip,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,157000
1929,2001,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,132000
1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,149000
2004,2004,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,159000
1958,1965,Hip,BrkFace,Plywood,None,0,TA,TA,CBlock,139000
2005,2006,Gable,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,325300
1930,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,139400
2002,2002,Hip,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,230000
1976,1976,Gable,CemntBd,CmentBd,None,0,TA,TA,PConc,129900
1968,2001,Gable,Plywood,Plywood,None,0,TA,Gd,CBlock,154000
2007,2007,Gable,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,256300
1951,2000,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,134800
2007,2008,Gable,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,306000
1957,1997,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,207500
1927,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,68500
1920,1950,Gambrel,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,40000
1966,2006,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,149350
2007,2007,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,179900
1959,1959,Hip,BrkFace,BrkFace,None,0,TA,TA,CBlock,165500
2005,2005,Hip,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,277500
2004,2005,Gable,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,309000
1994,1995,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,145000
1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,153000
1953,2007,Gable,VinylSd,VinylSd,None,0,TA,Gd,CBlock,109000
1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,160000
1959,1959,Gable,VinylSd,VinylSd,None,0,TA,Gd,CBlock,170000
1983,1983,Gable,HdBoard,HdBoard,None,0,TA,TA,CBlock,144000
1975,1980,Hip,VinylSd,VinylSd,None,0,TA,TA,CBlock,130250
1959,1959,Gable,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,141000
