BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,X1stFlrSF,GrLivArea,SalePrice
Gd,GLQ,706,150,856,Ex,Y,SBrkr,856,1710,208500
Gd,ALQ,978,284,1262,Ex,Y,SBrkr,1262,1262,181500
Gd,GLQ,486,434,920,Ex,Y,SBrkr,920,1786,223500
TA,ALQ,216,540,756,Gd,Y,SBrkr,961,1717,140000
Gd,GLQ,655,490,1145,Ex,Y,SBrkr,1145,2198,250000
Gd,GLQ,732,64,796,Ex,Y,SBrkr,796,1362,143000
Ex,GLQ,1369,317,1686,Ex,Y,SBrkr,1694,1694,307000
Gd,ALQ,859,216,1107,Ex,Y,SBrkr,1107,2090,200000
TA,Unf,0,952,952,Gd,Y,FuseF,1022,1774,129900
TA,GLQ,851,140,991,Ex,Y,SBrkr,1077,1077,118000
TA,Rec,906,134,1040,Ex,Y,SBrkr,1040,1040,129500
Ex,GLQ,998,177,1175,Ex,Y,SBrkr,1182,2324,345000
TA,ALQ,737,175,912,TA,Y,SBrkr,912,912,144000
Gd,Unf,0,1494,1494,Ex,Y,SBrkr,1494,1494,279500
TA,BLQ,733,520,1253,TA,Y,SBrkr,1253,1253,157000
TA,Unf,0,832,832,Ex,Y,FuseA,854,854,132000
TA,ALQ,578,426,1004,Ex,Y,SBrkr,1004,1004,149000
TA,GLQ,646,468,1114,Ex,Y,SBrkr,1114,1114,159000
TA,LwQ,504,525,1029,TA,Y,SBrkr,1339,1339,139000
Ex,Unf,0,1158,1158,Ex,Y,SBrkr,1158,2376,325300
TA,Unf,0,637,637,Ex,Y,FuseF,1108,1108,139400
Gd,Unf,0,1777,1777,Ex,Y,SBrkr,1795,1795,230000
Gd,GLQ,840,200,1040,TA,Y,SBrkr,1060,1060,129900
TA,Rec,188,204,1060,Ex,Y,SBrkr,1060,1060,154000
Gd,Unf,0,1566,1566,Ex,Y,SBrkr,1600,1600,256300
TA,BLQ,234,180,900,TA,Y,SBrkr,900,900,134800
Ex,GLQ,1218,486,1704,Ex,Y,SBrkr,1704,1704,306000
TA,BLQ,1277,207,1484,TA,Y,SBrkr,1600,1600,207500
TA,Unf,0,520,520,Fa,N,SBrkr,520,520,68500
TA,Unf,0,649,649,TA,N,SBrkr,649,1317,40000
TA,Unf,0,1228,1228,Gd,Y,SBrkr,1228,1228,149350
Ex,Unf,0,1234,1234,Ex,Y,SBrkr,1234,1234,179900
TA,Rec,1018,380,1398,Gd,Y,SBrkr,1700,1700,165500
Ex,GLQ,1153,408,1561,Ex,Y,SBrkr,1561,1561,277500
Ex,Unf,0,1117,1117,Ex,Y,SBrkr,1132,2452,309000
Gd,Unf,0,1097,1097,Ex,Y,SBrkr,1097,1097,145000
TA,Rec,1213,84,1297,Gd,Y,SBrkr,1297,1297,153000
TA,GLQ,731,326,1057,TA,Y,SBrkr,1057,1057,109000
TA,Rec,643,445,1088,Ex,Y,SBrkr,1324,1324,160000
TA,BLQ,967,383,1350,Gd,Y,SBrkr,1328,1328,170000
Gd,ALQ,747,0,840,Gd,Y,SBrkr,884,884,144000
Gd,LwQ,280,167,938,TA,Y,SBrkr,938,938,130250
TA,ALQ,179,465,1150,Ex,Y,FuseA,1150,1150,141000
Ex,GLQ,456,1296,1752,Ex,Y,SBrkr,1752,1752,319900
Ex,GLQ,1351,83,1434,Ex,Y,SBrkr,1518,2149,239686
Gd,GLQ,24,1632,1656,Ex,Y,SBrkr,1656,1656,249700
TA,BLQ,763,192,955,Ex,Y,SBrkr,955,955,127000
Gd,GLQ,182,612,794,Gd,Y,SBrkr,794,1470,177000
TA,Unf,0,816,816,TA,Y,SBrkr,816,1176,114500
Gd,LwQ,104,0,816,TA,N,SBrkr,816,816,110000
Ex,GLQ,1810,32,1842,Gd,Y,SBrkr,1842,1842,385000
TA,ALQ,384,0,384,TA,Y,SBrkr,1360,1360,130000
TA,BLQ,490,935,1425,Gd,Y,SBrkr,1425,1425,180500
Gd,GLQ,649,321,970,Ex,Y,SBrkr,983,1739,172500
Gd,Unf,0,860,860,Ex,Y,SBrkr,860,1720,196500
Ex,Unf,0,1410,1410,Ex,Y,SBrkr,1426,2945,438780
TA,ALQ,632,148,780,Ex,Y,SBrkr,780,780,124900
