BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,SalePrice
1,2,1,3,1,Gd,8,Attchd,RFn,208500
0,2,0,3,1,TA,6,Attchd,RFn,181500
1,2,1,3,1,Gd,6,Attchd,RFn,223500
1,1,0,3,1,Gd,7,Detchd,Unf,140000
1,2,1,4,1,Gd,9,Attchd,RFn,250000
1,1,1,1,1,TA,5,Attchd,Unf,143000
1,2,0,3,1,Gd,7,Attchd,RFn,307000
1,2,1,3,1,TA,7,Attchd,RFn,200000
0,2,0,2,2,TA,8,Detchd,Unf,129900
1,1,0,2,2,TA,5,Attchd,RFn,118000
1,1,0,3,1,TA,5,Detchd,Unf,129500
1,3,0,4,1,Ex,11,BuiltIn,Fin,345000
1,1,0,2,1,TA,4,Detchd,Unf,144000
0,2,0,3,1,Gd,7,Attchd,RFn,279500
1,1,1,2,1,TA,5,Attchd,RFn,157000
0,1,0,2,1,TA,5,Detchd,Unf,132000
1,1,0,2,1,TA,5,Attchd,Fin,149000
1,1,1,3,1,Gd,6,Detchd,Unf,159000
0,1,0,3,1,TA,6,Attchd,Unf,139000
0,3,1,4,1,Gd,9,BuiltIn,RFn,325300
0,1,0,3,1,Gd,6,Attchd,Unf,139400
0,2,0,3,1,Gd,7,Attchd,RFn,230000
1,1,0,3,1,TA,6,Attchd,Unf,129900
1,1,0,3,1,Gd,6,Attchd,Unf,154000
0,2,0,3,1,Gd,7,Attchd,RFn,256300
0,1,0,3,1,Gd,5,Detchd,Unf,134800
1,2,0,3,1,Gd,7,Attchd,RFn,306000
1,1,0,2,1,TA,6,Attchd,RFn,207500
0,1,0,1,1,Fa,4,Detchd,Unf,68500
0,1,0,3,1,TA,6,Detchd,Unf,40000
0,1,1,3,1,Gd,6,Attchd,Unf,149350
0,2,0,3,1,Gd,7,Attchd,RFn,179900
0,1,1,4,1,Gd,6,Attchd,RFn,165500
1,2,0,2,1,Ex,6,Attchd,Fin,277500
0,3,1,4,1,Gd,9,BuiltIn,Fin,309000
0,1,1,3,1,TA,6,Attchd,Unf,145000
0,1,0,3,1,TA,5,Attchd,Fin,153000
1,1,0,3,1,Gd,5,Detchd,Unf,109000
0,2,0,3,1,TA,6,Attchd,RFn,160000
0,1,1,2,1,TA,5,Attchd,RFn,170000
1,1,0,2,1,Gd,5,Attchd,RFn,144000
1,1,0,3,1,TA,5,Detchd,Unf,130250
1,1,0,3,1,TA,6,Attchd,RFn,141000
1,2,0,2,1,Ex,6,Attchd,RFn,319900
1,1,1,1,1,Gd,6,Attchd,RFn,239686
0,2,0,3,1,Gd,7,Attchd,RFn,249700
1,1,0,3,1,TA,6,Attchd,Unf,127000
0,2,0,3,1,TA,6,Attchd,Fin,177000
0,1,0,3,1,TA,6,Detchd,Unf,114500
1,1,0,2,1,TA,5,CarPort,Unf,110000
2,0,1,0,1,Gd,5,Attchd,Fin,385000
0,1,0,3,1,TA,6,Detchd,Unf,130000
0,2,0,3,1,TA,7,Attchd,RFn,180500
1,2,1,3,1,Gd,7,Attchd,Fin,172500
0,2,1,3,1,Gd,7,Attchd,RFn,196500
0,3,1,3,1,Gd,10,BuiltIn,Fin,438780
0,1,0,2,1,TA,4,Detchd,Unf,124900
1,1,1,3,1,Gd,5,Detchd,Unf,158000
0,1,0,3,1,Fa,6,Detchd,Unf,101000
0,2,0,2,1,Gd,6,Attchd,RFn,202500
0,2,0,3,1,TA,9,Detchd,Unf,140000
1,2,1,3,1,Gd,8,Attchd,RFn,219500
0,2,1,4,1,Gd,9,BuiltIn,RFn,317000
1,2,0,3,1,TA,7,Attchd,RFn,180000
1,2,0,3,1,Gd,7,Attchd,RFn,226000
0,1,0,2,1,TA,4,Attchd,Unf,80000
0,2,0,3,1,TA,7,Attchd,Fin,225000
1,2,0,3,1,TA,8,Attchd,Fin,244000
1,1,0,2,1,TA,4,Detchd,Unf,129500
0,2,1,3,1,TA,7,Attchd,Fin,185000
1,1,0,3,1,TA,6,Attchd,Unf,144900
0,2,0,3,2,TA,8,Detchd,Unf,107400
1,1,0,2,1,TA,5,BuiltIn,Unf,91000
0,1,0,2,1,TA,4,Detchd,Unf,135750
1,1,0,2,1,TA,6,Detchd,Unf,127000
0,1,1,2,1,TA,5,Detchd,Unf,110000
0,2,1,4,1,Gd,8,Attchd,Fin,193500
1,2,0,2,1,TA,5,Attchd,Fin,153500
0,2,0,3,1,Gd,6,Attchd,RFn,245000
0,1,1,3,1,TA,6,Detchd,Unf,126500
0,2,1,3,1,TA,7,BuiltIn,Fin,168500
0,2,1,4,1,Gd,9,Attchd,Unf,260000
0,2,1,3,1,Gd,6,BuiltIn,Fin,174000
0,2,1,2,1,Gd,4,Detchd,RFn,164500
0,1,0,2,1,TA,6,Attchd,Unf,98600
1,1,0,2,1,TA,5,Detchd,Unf,163500
0,2,0,4,2,TA,9,Detchd,Unf,133900
1,2,1,3,1,Gd,7,Attchd,RFn,204750
0,2,1,3,1,TA,6,BuiltIn,Fin,185000
0,2,0,3,1,Gd,6,Attchd,RFn,214000
1,1,0,3,1,TA,6,Attchd,Fin,94750
0,1,0,2,1,TA,5,Basment,Unf,83000
1,2,0,3,1,Gd,6,Attchd,RFn,205000
0,2,1,3,1,Gd,7,Attchd,Fin,178000
0,2,0,3,1,Gd,6,Attchd,RFn,198900
0,1,1,4,1,TA,7,Detchd,Unf,169500
0,2,1,3,1,Gd,9,Attchd,RFn,250000
0,1,0,2,1,TA,6,Detchd,Unf,100000
0,1,0,2,1,TA,5,Detchd,Unf,115000
0,2,0,3,1,TA,7,Attchd,RFn,190000
0,2,0,4,1,TA,7,Attchd,Unf,136900
0,2,1,3,1,TA,7,BuiltIn,Fin,180000
1,2,1,4,1,Ex,10,BuiltIn,Fin,383970
1,2,0,3,1,Gd,7,Basment,Unf,217000
1,2,1,3,1,Gd,9,Detchd,Unf,259500
0,2,1,2,1,TA,5,Detchd,Unf,176000
0,1,0,3,1,TA,6,Attchd,Unf,139000
0,1,1,2,1,TA,5,Attchd,Unf,155000
1,3,0,5,1,Gd,11,Attchd,Unf,320000
0,2,1,3,1,Gd,8,Attchd,Fin,163990
1,1,0,1,1,TA,4,Attchd,Unf,180000
0,1,0,3,1,TA,4,Detchd,Unf,100000
0,1,0,3,1,TA,5,Attchd,Unf,136000
0,2,0,2,1,Gd,5,Attchd,RFn,153900
0,2,0,3,1,TA,7,Attchd,Unf,181000
0,2,0,2,1,TA,5,Attchd,RFn,128000
0,1,1,3,1,TA,6,Attchd,RFn,155000
0,1,1,3,1,Ex,6,2Types,RFn,150000
0,2,1,4,1,Gd,8,Attchd,Fin,226000
1,2,1,3,1,Gd,7,BuiltIn,RFn,244000
1,1,0,3,1,Gd,7,Detchd,Unf,150750
1,2,0,2,1,Gd,6,Attchd,Fin,220000
0,2,1,3,1,TA,7,Attchd,RFn,180000
0,2,0,3,1,TA,7,Attchd,Unf,174000
0,2,0,3,1,TA,5,Attchd,RFn,143000
0,3,0,5,2,TA,9,2Types,Unf,171000
0,2,1,3,1,Gd,7,Attchd,Fin,230000
1,2,1,3,1,Gd,7,Attchd,RFn,231500
1,2,0,3,1,Gd,7,Attchd,Fin,260000
0,2,0,4,1,TA,6,Detchd,Unf,166000
1,2,0,3,1,Gd,6,Attchd,RFn,204000
1,2,0,6,2,TA,10,Detchd,Unf,125000
0,2,0,3,1,Gd,7,Detchd,Unf,130000
1,1,0,2,1,TA,5,Detchd,Unf,105000
0,2,1,3,1,Gd,8,BuiltIn,Fin,222500
0,1,0,3,1,TA,7,Detchd,Unf,115000
0,1,1,3,1,TA,5,Attchd,Unf,122000
1,2,0,2,1,Gd,6,Attchd,RFn,372402
0,2,1,4,1,TA,8,Attchd,RFn,190000
1,1,0,1,1,TA,4,Attchd,RFn,235000
0,1,0,4,1,TA,7,Detchd,Unf,125000
0,2,1,4,1,Ex,8,BuiltIn,Fin,269500
0,2,1,3,1,Gd,8,Attchd,RFn,254900
1,2,1,4,1,Gd,9,Attchd,RFn,320000
0,2,0,3,1,TA,6,Attchd,Unf,162500
1,2,1,3,1,Ex,10,BuiltIn,Fin,412500
0,2,0,3,1,Gd,7,Attchd,RFn,220000
0,2,0,3,1,Gd,5,Detchd,Unf,152000
1,1,0,2,1,TA,7,Attchd,Fin,190000
1,1,1,3,1,Ex,8,Attchd,Fin,325624
0,2,1,3,1,Gd,7,Attchd,Fin,183500
0,2,1,2,1,TA,6,Attchd,RFn,228000
0,1,1,2,1,TA,7,Detchd,Unf,128500
1,1,0,3,1,TA,7,Attchd,Fin,215000
1,2,0,2,1,Gd,5,Attchd,RFn,239000
1,1,1,3,1,TA,6,Attchd,Unf,163000
1,2,0,3,1,TA,7,Attchd,Fin,184000
1,2,0,4,1,Gd,7,Attchd,Unf,243000
0,2,1,4,1,TA,8,Attchd,Unf,211000
1,2,0,4,1,Gd,8,Attchd,Unf,172500
1,2,0,1,1,Ex,9,Attchd,Fin,501837
0,1,0,2,1,TA,5,Detchd,Unf,100000
0,2,1,3,1,Gd,5,Detchd,Unf,177000
0,1,1,4,1,TA,9,Detchd,Unf,200100
0,2,1,3,1,Gd,6,Detchd,Unf,200000
0,1,0,3,1,TA,5,Attchd,Unf,127000
0,2,1,4,1,Ex,12,Detchd,Unf,475000
1,2,0,3,1,Gd,6,Attchd,Unf,173000
0,2,1,3,1,TA,8,Detchd,Unf,135000
2,0,2,2,2,TA,6,Detchd,Unf,153337
1,1,1,0,1,Ex,5,Attchd,Fin,286000
0,2,1,3,1,Gd,10,Detchd,Unf,315000
1,1,1,4,1,Gd,7,Attchd,Fin,184000
1,2,0,3,1,Gd,6,Attchd,Fin,192000
0,2,0,3,1,Gd,7,Detchd,Unf,130000
0,1,0,3,1,TA,5,Detchd,Unf,127000
0,2,1,3,1,TA,7,Attchd,Unf,148500
1,2,0,3,1,Ex,8,Attchd,Fin,311872
1,2,0,4,1,Gd,8,Detchd,Unf,235000
1,2,0,3,1,Ex,7,Attchd,Fin,274900
0,2,0,2,1,TA,5,Attchd,RFn,140000
0,2,0,3,1,TA,6,Detchd,Unf,171500
0,2,0,2,1,TA,6,Attchd,Unf,112000
1,1,0,1,1,Gd,3,Attchd,RFn,149000
0,1,1,2,1,TA,5,Detchd,Unf,110000
0,2,0,3,1,TA,5,Attchd,RFn,180500
0,1,1,3,1,TA,8,Attchd,RFn,143900
1,1,0,3,1,TA,6,Attchd,RFn,141000
1,2,1,3,1,TA,7,Attchd,Fin,277000
1,1,0,3,1,TA,6,Attchd,RFn,145000
0,2,0,3,1,Gd,6,Attchd,RFn,186000
1,2,1,3,1,Gd,7,Attchd,RFn,252678
0,1,0,3,1,TA,5,Attchd,Unf,156000
0,1,1,3,1,TA,6,Attchd,Fin,161750
0,1,0,2,1,Gd,6,Attchd,Unf,134450
1,2,0,3,1,Gd,8,Attchd,Unf,210000
0,1,0,3,1,TA,8,Detchd,Unf,107000
0,1,1,3,1,Gd,8,Attchd,Unf,311500
0,2,0,2,1,Gd,5,Attchd,Fin,167240
0,2,0,2,1,Gd,5,Attchd,RFn,204900
0,2,1,4,1,Gd,8,BuiltIn,RFn,200000
1,2,1,3,1,TA,6,Attchd,RFn,179900
0,1,0,2,1,TA,4,Detchd,Unf,97000
0,2,0,3,1,Ex,8,Attchd,Fin,386250
0,2,1,3,1,TA,6,Detchd,Unf,112000
0,2,1,4,1,Gd,9,Attchd,RFn,290000
0,1,1,2,1,TA,5,Detchd,Unf,106000
0,1,0,3,1,TA,5,Detchd,Unf,125000
0,2,0,2,1,Gd,7,Attchd,Fin,192500
1,1,0,3,1,TA,6,Attchd,RFn,148000
1,2,1,4,1,Ex,9,Attchd,Fin,403000
0,1,1,2,1,TA,5,Attchd,Unf,94500
1,1,0,3,1,TA,5,Attchd,Unf,128200
0,1,1,2,1,TA,5,Detchd,Unf,89500
0,2,0,3,1,Gd,6,Attchd,RFn,185500
0,2,1,3,1,Gd,7,Attchd,RFn,194500
0,2,0,3,1,Gd,7,Attchd,Fin,318000
0,1,1,3,1,TA,7,Detchd,Unf,113000
1,2,0,3,1,Gd,7,Attchd,RFn,262500
0,1,0,3,1,TA,6,Attchd,Unf,79000
0,1,1,3,1,TA,6,Attchd,RFn,120000
1,2,1,3,1,Gd,8,Attchd,RFn,205000
0,2,0,3,1,TA,6,Attchd,Fin,241500
0,2,0,4,2,Fa,9,Detchd,Unf,137000
0,1,0,2,1,TA,5,Attchd,Unf,140000
0,2,1,3,1,Gd,8,Attchd,RFn,180000
0,2,0,4,1,Gd,7,Attchd,Fin,277000
1,2,0,2,1,Gd,5,Attchd,Fin,235000
0,2,1,3,1,Gd,6,Attchd,RFn,173000
0,2,0,3,1,Gd,7,Attchd,RFn,158000
1,1,0,3,1,TA,5,Attchd,RFn,145000
0,2,1,4,1,Gd,8,BuiltIn,Fin,230000
0,2,1,3,1,Gd,7,Attchd,RFn,207500
1,2,1,3,1,Gd,8,Attchd,RFn,220000
0,2,1,3,1,Gd,7,Attchd,RFn,231500
1,1,0,3,1,TA,6,Attchd,Unf,176000
0,2,1,3,1,Ex,10,BuiltIn,Fin,276000
1,1,0,3,1,TA,6,Attchd,Unf,151000
1,1,0,3,1,TA,6,Detchd,Unf,130000
0,1,0,2,1,TA,4,Detchd,Unf,73000
0,2,0,3,1,Gd,7,Attchd,Fin,175500
1,2,1,3,1,TA,8,Attchd,Fin,185000
0,2,1,4,1,Gd,8,Detchd,Unf,179500
0,1,0,2,1,TA,4,Detchd,Fin,120500
1,1,1,3,1,TA,6,Attchd,RFn,148000
0,2,1,3,1,Gd,8,Attchd,RFn,266000
1,1,0,2,1,TA,5,Attchd,Unf,241500
0,2,1,4,1,Gd,9,Attchd,Fin,290000
1,2,0,3,1,TA,6,Attchd,RFn,139000
0,1,0,2,1,TA,5,Attchd,Unf,124500
0,2,1,3,1,Ex,5,Detchd,Unf,205000
0,2,0,3,1,Gd,7,Attchd,Fin,201000
0,1,0,2,1,TA,4,Detchd,Unf,141000
0,2,1,3,1,Ex,8,Attchd,Fin,415298
0,2,1,4,1,TA,8,Attchd,Fin,192000
0,2,1,3,1,Gd,7,Attchd,Fin,228500
0,2,0,2,1,Gd,5,Attchd,Fin,185000
1,2,0,2,1,Gd,6,Attchd,RFn,207500
0,2,0,3,1,Gd,6,Attchd,Fin,244600
1,2,0,2,1,Gd,5,Attchd,RFn,179200
0,2,1,2,1,Gd,5,Detchd,RFn,164700
0,1,1,3,1,Gd,7,Attchd,RFn,159000
0,1,0,3,1,TA,5,Detchd,Unf,122000
0,1,0,3,1,TA,7,Detchd,Unf,153575
0,2,1,3,1,Gd,8,Attchd,RFn,233230
0,1,1,3,1,TA,8,Attchd,Unf,131000
1,2,1,3,1,Gd,9,Attchd,Fin,235000
1,1,0,3,1,TA,7,Attchd,Fin,167000
1,1,0,3,1,TA,6,Detchd,Unf,142500
0,1,1,4,1,TA,6,Attchd,Unf,152000
0,2,1,3,1,Gd,7,Detchd,RFn,239000
0,1,2,3,1,TA,7,Attchd,Unf,175000
0,1,0,3,1,Gd,6,Attchd,Unf,158500
1,1,0,2,1,TA,5,Attchd,Unf,157000
0,2,1,4,1,Gd,9,BuiltIn,Fin,267000
0,2,0,3,1,Gd,6,Attchd,RFn,205000
1,1,0,3,1,TA,5,Attchd,Unf,149900
0,3,0,3,1,Gd,10,Attchd,Unf,295000
1,2,0,3,1,Gd,8,Attchd,Fin,305900
1,2,1,4,1,Gd,8,Attchd,RFn,225000
0,1,0,1,1,TA,4,Detchd,Unf,82500
1,2,0,3,1,Ex,8,Attchd,Fin,360000
0,2,1,3,1,Gd,6,Attchd,Fin,165600
1,1,0,2,1,TA,5,Detchd,Unf,132000
1,1,0,3,1,TA,5,Detchd,Unf,119900
2,2,0,3,1,TA,8,Attchd,RFn,375000
0,1,1,3,1,Ex,6,Detchd,Unf,178000
1,2,1,3,1,Gd,6,Attchd,Fin,188500
1,2,1,4,1,Ex,10,Attchd,RFn,260000
0,2,1,3,1,Gd,8,Attchd,RFn,270000
1,2,1,4,1,Gd,9,Attchd,RFn,260000
1,2,0,3,1,TA,6,Attchd,Unf,187500
0,3,1,4,1,Gd,9,Attchd,RFn,342643
1,2,1,4,1,Gd,10,BuiltIn,Fin,354000
1,2,1,4,1,Gd,8,Attchd,Fin,301000
1,1,0,3,1,TA,6,Attchd,Unf,126175
0,2,1,5,1,Gd,11,BuiltIn,Fin,242000
0,1,0,2,1,TA,5,Detchd,Unf,87000
2,1,1,1,1,Gd,6,Attchd,Fin,324000
0,1,1,3,1,TA,7,Attchd,RFn,145250
0,2,0,5,1,Gd,10,Detchd,Unf,214500
0,1,0,3,1,TA,6,Detchd,Unf,78000
0,2,0,6,2,TA,10,Detchd,Unf,119000
1,1,0,3,1,TA,6,Attchd,RFn,139000
1,2,0,2,1,Gd,6,Attchd,RFn,207000
1,2,1,3,1,TA,7,Attchd,Fin,192000
2,2,0,3,1,TA,7,Attchd,Fin,228950
1,2,0,3,1,Gd,8,Attchd,Fin,377426
1,2,0,3,1,Gd,7,Attchd,RFn,214000
1,2,0,3,1,Gd,8,Attchd,RFn,202500
0,1,0,3,1,TA,6,Attchd,Unf,155000
0,2,1,4,1,Gd,9,Attchd,Fin,202900
0,1,0,2,1,TA,4,CarPort,Unf,82000
0,2,0,2,1,Ex,6,Attchd,RFn,266000
0,1,1,3,1,TA,4,Attchd,Unf,85000
0,1,0,3,1,Fa,6,Detchd,Unf,140200
0,1,0,2,1,TA,5,Attchd,RFn,151500
1,2,0,3,1,TA,6,Attchd,Unf,157500
1,2,1,2,1,Gd,6,BuiltIn,RFn,154000
1,2,1,4,1,Ex,10,Attchd,Fin,437154
0,2,0,2,1,Ex,6,Attchd,RFn,318061
1,1,1,2,1,Gd,6,Attchd,RFn,190000
0,1,0,3,1,TA,5,Detchd,Unf,95000
0,1,0,2,1,TA,5,Detchd,Unf,105900
0,1,0,2,1,TA,6,Attchd,Unf,140000
1,2,0,3,1,Gd,6,Attchd,RFn,177500
1,2,0,3,1,Gd,6,Attchd,RFn,173000
1,1,1,3,1,TA,6,Attchd,Fin,134000
0,1,0,3,1,Gd,6,BuiltIn,Unf,130000
1,2,1,3,1,Gd,7,Attchd,RFn,280000
1,1,0,2,1,TA,5,Attchd,RFn,156000
1,1,0,3,1,TA,8,Detchd,Unf,145000
0,1,1,2,1,Gd,5,Detchd,Unf,118000
1,2,1,3,1,TA,6,Attchd,Fin,190000
0,1,0,3,1,TA,6,Detchd,Unf,147000
1,1,1,3,1,TA,6,Attchd,RFn,159000
0,1,0,3,1,TA,6,Basment,RFn,165000
0,1,0,2,1,TA,7,Attchd,Fin,132000
1,1,0,3,1,Gd,7,Detchd,Fin,162000
0,2,1,3,1,TA,7,Attchd,RFn,172400
1,1,0,2,1,TA,4,Attchd,Unf,125000
1,1,0,3,1,TA,5,Attchd,Unf,123000
0,2,1,4,1,Gd,8,BuiltIn,Fin,219500
0,1,0,2,1,TA,5,Detchd,Unf,148000
0,3,0,4,1,Gd,8,Attchd,RFn,340000
1,1,1,1,1,Ex,8,Attchd,Fin,394432
0,2,1,3,1,TA,7,Attchd,Fin,179000
0,2,0,3,1,Gd,6,Detchd,Unf,127000
1,2,0,2,1,Gd,5,Attchd,RFn,187750
0,2,1,3,1,Gd,8,Attchd,RFn,213500
0,1,0,2,1,TA,5,Detchd,Unf,76000
1,2,1,3,1,Gd,9,Attchd,Fin,240000
0,2,0,2,1,Gd,6,Attchd,Fin,192000
1,1,0,3,1,TA,6,Detchd,Unf,125000
0,2,0,3,1,Gd,6,Attchd,RFn,191000
1,2,1,3,1,Ex,9,BuiltIn,Fin,426000
1,1,0,4,1,TA,7,Detchd,Unf,119000
1,2,1,3,1,Gd,7,BuiltIn,Fin,215000
0,1,0,2,1,TA,5,Detchd,Unf,109000
1,1,0,3,1,TA,6,Attchd,Unf,129000
0,1,0,2,1,TA,6,Detchd,RFn,123000
0,2,0,4,1,TA,8,Attchd,RFn,169500
0,1,0,2,1,TA,6,Detchd,Unf,67000
1,2,0,2,1,Gd,7,Attchd,Fin,241000
1,1,1,1,1,Ex,4,Attchd,Fin,245500
0,2,0,3,1,Gd,6,Attchd,Fin,164990
0,1,0,2,1,TA,4,Detchd,Unf,108000
