GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,SalePrice
2,548,TA,TA,Y,2,2008,WD,Normal,208500
2,460,TA,TA,Y,5,2007,WD,Normal,181500
2,608,TA,TA,Y,9,2008,WD,Normal,223500
3,642,TA,TA,Y,2,2006,WD,Abnorml,140000
3,836,TA,TA,Y,12,2008,WD,Normal,250000
2,480,TA,TA,Y,10,2009,WD,Normal,143000
2,636,TA,TA,Y,8,2007,WD,Normal,307000
2,484,TA,TA,Y,11,2009,WD,Normal,200000
2,468,Fa,TA,Y,4,2008,WD,Abnorml,129900
1,205,Gd,TA,Y,1,2008,WD,Normal,118000
1,384,TA,TA,Y,2,2008,WD,Normal,129500
3,736,TA,TA,Y,7,2006,New,Partial,345000
1,352,TA,TA,Y,9,2008,WD,Normal,144000
3,840,TA,TA,Y,8,2007,New,Partial,279500
1,352,TA,TA,Y,5,2008,WD,Normal,157000
2,576,TA,TA,Y,7,2007,WD,Normal,132000
2,480,TA,TA,Y,3,2010,WD,Normal,149000
2,576,TA,TA,Y,6,2008,WD,Normal,159000
1,294,TA,TA,Y,5,2009,COD,Abnorml,139000
3,853,TA,TA,Y,11,2006,New,Partial,325300
1,280,TA,TA,N,6,2007,WD,Normal,139400
2,534,TA,TA,Y,9,2008,WD,Normal,230000
2,572,TA,TA,Y,6,2007,WD,Normal,129900
1,270,TA,TA,Y,5,2010,WD,Normal,154000
3,890,TA,TA,Y,7,2009,WD,Normal,256300
2,576,TA,TA,Y,5,2010,WD,Normal,134800
3,772,TA,TA,Y,5,2010,WD,Normal,306000
1,319,TA,TA,Y,12,2006,WD,Normal,207500
1,240,Fa,TA,Y,5,2008,WD,Normal,68500
1,250,TA,Fa,N,7,2008,WD,Normal,40000
1,271,TA,TA,Y,6,2008,WD,Normal,149350
2,484,TA,TA,Y,1,2008,WD,Normal,179900
2,447,TA,TA,Y,4,2010,WD,Normal,165500
2,556,TA,TA,Y,8,2007,WD,Normal,277500
3,691,TA,TA,Y,9,2006,WD,Normal,309000
2,672,TA,TA,Y,6,2009,WD,Normal,145000
2,498,TA,TA,Y,10,2009,WD,Normal,153000
1,246,TA,TA,Y,1,2010,WD,Abnorml,109000
2,440,TA,TA,Y,12,2006,WD,Abnorml,160000
1,308,TA,TA,P,7,2007,WD,Normal,170000
2,504,TA,Gd,Y,12,2007,WD,Normal,144000
1,308,TA,TA,Y,7,2008,WD,Normal,130250
1,300,TA,TA,Y,5,2006,WD,Normal,141000
2,576,TA,TA,Y,2,2010,WD,Normal,319900
2,670,TA,TA,Y,8,2009,WD,Abnorml,239686
3,826,TA,TA,Y,7,2007,WD,Normal,249700
1,386,TA,TA,Y,1,2007,WD,Normal,127000
2,388,TA,TA,Y,7,2007,WD,Normal,177000
2,528,TA,TA,Y,9,2006,WD,Normal,114500
2,516,TA,TA,Y,5,2010,WD,Normal,110000
3,894,TA,TA,Y,11,2006,WD,Normal,385000
2,572,TA,TA,Y,2,2007,WD,Normal,130000
2,576,TA,TA,Y,7,2008,WD,Normal,180500
2,480,TA,TA,Y,8,2009,WD,Abnorml,172500
2,565,TA,TA,Y,8,2006,WD,Normal,196500
3,641,TA,TA,Y,10,2006,New,Partial,438780
1,352,TA,TA,Y,1,2008,WD,Normal,124900
2,576,TA,TA,Y,5,2006,New,Partial,158000
1,288,TA,TA,N,3,2007,WD,Normal,101000
2,484,TA,TA,Y,10,2007,WD,Normal,202500
2,480,TA,TA,Y,4,2010,WD,Normal,140000
2,645,TA,TA,Y,2,2009,WD,Normal,219500
3,852,TA,TA,Y,10,2007,WD,Normal,317000
2,576,TA,TA,Y,7,2010,WD,Normal,180000
2,558,TA,TA,Y,6,2007,WD,Normal,226000
1,220,TA,TA,Y,6,2010,WD,Normal,80000
2,667,TA,TA,Y,7,2006,WD,Normal,225000
2,516,TA,TA,Y,2,2007,WD,Normal,244000
2,360,TA,TA,Y,6,2007,WD,Normal,129500
2,427,TA,TA,Y,12,2009,WD,Normal,185000
2,490,TA,TA,Y,5,2010,WD,Normal,144900
1,379,TA,TA,Y,5,2010,WD,Normal,107400
1,297,TA,TA,Y,11,2009,WD,Normal,91000
1,283,TA,TA,Y,4,2008,WD,Normal,135750
1,240,TA,TA,Y,1,2008,WD,Normal,127000
2,440,TA,TA,Y,5,2009,WD,Normal,110000
1,509,TA,TA,Y,6,2009,WD,Normal,193500
2,405,TA,TA,Y,3,2006,WD,Normal,153500
3,758,TA,TA,Y,10,2008,WD,Normal,245000
2,461,TA,TA,Y,7,2007,COD,Normal,126500
2,400,TA,TA,Y,5,2009,WD,Normal,168500
2,462,TA,TA,Y,4,2006,WD,Normal,260000
2,400,TA,TA,Y,3,2009,WD,Normal,174000
2,528,TA,TA,Y,6,2009,New,Partial,164500
2,480,TA,TA,Y,12,2006,WD,Abnorml,98600
2,432,TA,TA,Y,8,2009,WD,Normal,163500
2,506,TA,TA,Y,11,2007,WD,Normal,133900
2,684,TA,TA,Y,5,2007,WD,Normal,204750
2,420,TA,TA,Y,4,2009,WD,Normal,185000
2,472,TA,TA,Y,8,2006,WD,Normal,214000
1,432,TA,TA,P,5,2007,WD,Normal,94750
1,366,Fa,TA,Y,5,2010,COD,Abnorml,83000
2,480,TA,TA,Y,2,2010,WD,Normal,205000
2,476,TA,TA,Y,6,2010,WD,Normal,178000
3,740,TA,TA,Y,5,2010,WD,Normal,198900
1,240,TA,TA,Y,6,2007,WD,Normal,169500
2,648,TA,TA,Y,8,2008,WD,Normal,250000
1,273,Fa,Fa,N,8,2007,WD,Normal,100000
1,250,TA,TA,Y,4,2008,WD,Partial,115000
2,546,TA,TA,Y,1,2010,COD,Normal,190000
1,325,TA,TA,Y,10,2006,WD,Normal,136900
2,400,TA,TA,Y,4,2010,WD,Normal,180000
3,792,TA,TA,Y,10,2007,New,Partial,383970
2,450,TA,TA,Y,10,2007,COD,Abnorml,217000
1,180,TA,TA,Y,7,2007,WD,Normal,259500
2,440,TA,TA,Y,6,2007,WD,Normal,176000
1,288,TA,TA,Y,9,2009,WD,Normal,139000
2,430,TA,TA,Y,4,2007,New,Partial,155000
3,594,TA,TA,Y,5,2010,WD,Normal,320000
2,390,TA,TA,Y,7,2006,New,Partial,163990
2,540,TA,TA,Y,10,2006,WD,Normal,180000
1,264,TA,TA,P,6,2007,WD,Normal,100000
1,288,TA,TA,Y,6,2008,WD,Normal,136000
2,530,TA,TA,Y,3,2008,WD,Normal,153900
2,435,TA,TA,Y,1,2009,WD,Normal,181000
2,440,TA,TA,Y,2,2007,WD,Normal,128000
2,453,TA,TA,Y,7,2006,WD,Normal,155000
2,750,TA,TA,Y,7,2006,WD,Abnorml,150000
2,487,TA,TA,Y,5,2006,WD,Normal,226000
2,390,TA,TA,Y,7,2009,WD,Normal,244000
2,624,TA,TA,Y,7,2007,WD,Normal,150750
2,471,TA,TA,Y,6,2009,WD,Normal,220000
2,440,TA,TA,Y,7,2006,WD,Normal,180000
2,530,TA,TA,Y,5,2008,WD,Normal,174000
1,318,TA,TA,Y,7,2007,WD,Normal,143000
3,766,TA,TA,Y,7,2006,WD,Family,171000
3,660,TA,TA,Y,12,2008,WD,Normal,230000
2,470,TA,TA,Y,8,2009,WD,Normal,231500
2,660,TA,TA,Y,1,2006,WD,Normal,260000
2,720,TA,TA,Y,6,2010,WD,Normal,166000
2,577,TA,TA,Y,6,2009,WD,Normal,204000
2,504,TA,TA,Y,11,2006,ConLI,Abnorml,125000
2,380,TA,TA,Y,4,2006,WD,Normal,130000
1,180,Fa,TA,Y,11,2009,WD,Normal,105000
2,434,TA,TA,Y,5,2010,WD,Normal,222500
