MSSubClass,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,X1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,8450,Reg,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,GLQ,706,150,856,Ex,Y,SBrkr,856,1710,1,2,1,3,1,Gd,8,Attchd,RFn,2,548,TA,TA,Y,2,2008,WD,Normal,208500
20,RL,9600,Reg,FR2,Veenker,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,ALQ,978,284,1262,Ex,Y,SBrkr,1262,1262,0,2,0,3,1,TA,6,Attchd,RFn,2,460,TA,TA,Y,5,2007,WD,Normal,181500
60,RL,11250,IR1,Inside,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,GLQ,486,434,920,Ex,Y,SBrkr,920,1786,1,2,1,3,1,Gd,6,Attchd,RFn,2,608,TA,TA,Y,9,2008,WD,Normal,223500
70,RL,9550,IR1,Corner,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,TA,ALQ,216,540,756,Gd,Y,SBrkr,961,1717,1,1,0,3,1,Gd,7,Detchd,Unf,3,642,TA,TA,Y,2,2006,WD,Abnorml,140000
60,RL,14260,IR1,FR2,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,GLQ,655,490,1145,Ex,Y,SBrkr,1145,2198,1,2,1,4,1,Gd,9,Attchd,RFn,3,836,TA,TA,Y,12,2008,WD,Normal,250000
50,RL,14115,IR1,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,None,0,TA,TA,Wood,Gd,GLQ,732,64,796,Ex,Y,SBrkr,796,1362,1,1,1,1,1,TA,5,Attchd,Unf,2,480,TA,TA,Y,10,2009,WD,Normal,143000
20,RL,10084,Reg,Inside,Somerst,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Ex,GLQ,1369,317,1686,Ex,Y,SBrkr,1694,1694,1,2,0,3,1,Gd,7,Attchd,RFn,2,636,TA,TA,Y,8,2007,WD,Normal,307000
60,RL,10382,IR1,Corner,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,Gd,ALQ,859,216,1107,Ex,Y,SBrkr,1107,2090,1,2,1,3,1,TA,7,Attchd,RFn,2,484,TA,TA,Y,11,2009,WD,Normal,200000
50,RM,6120,Reg,Inside,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,0,TA,TA,BrkTil,TA,Unf,0,952,952,Gd,Y,FuseF,1022,1774,0,2,0,2,2,TA,8,Detchd,Unf,2,468,Fa,TA,Y,4,2008,WD,Abnorml,129900
190,RL,7420,Reg,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,GLQ,851,140,991,Ex,Y,SBrkr,1077,1077,1,1,0,2,2,TA,5,Attchd,RFn,1,205,Gd,TA,Y,1,2008,WD,Normal,118000
20,RL,11200,Reg,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,Rec,906,134,1040,Ex,Y,SBrkr,1040,1040,1,1,0,3,1,TA,5,Detchd,Unf,1,384,TA,TA,Y,2,2008,WD,Normal,129500
60,RL,11924,IR1,Inside,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286,Ex,TA,PConc,Ex,GLQ,998,177,1175,Ex,Y,SBrkr,1182,2324,1,3,0,4,1,Ex,11,BuiltIn,Fin,3,736,TA,TA,Y,7,2006,New,Partial,345000
20,RL,12968,IR2,Inside,Sawyer,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,ALQ,737,175,912,TA,Y,SBrkr,912,912,1,1,0,2,1,TA,4,Detchd,Unf,1,352,TA,TA,Y,9,2008,WD,Normal,144000
20,RL,10652,IR1,Inside,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Gd,Unf,0,1494,1494,Ex,Y,SBrkr,1494,1494,0,2,0,3,1,Gd,7,Attchd,RFn,3,840,TA,TA,Y,8,2007,New,Partial,279500
20,RL,10920,IR1,Corner,NAmes,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,BLQ,733,520,1253,TA,Y,SBrkr,1253,1253,1,1,1,2,1,TA,5,Attchd,RFn,1,352,TA,TA,Y,5,2008,WD,Normal,157000
45,RM,6120,Reg,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,Unf,0,832,832,Ex,Y,FuseA,854,854,0,1,0,2,1,TA,5,Detchd,Unf,2,576,TA,TA,Y,7,2007,WD,Normal,132000
20,RL,11241,IR1,CulDSac,NAmes,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,ALQ,578,426,1004,Ex,Y,SBrkr,1004,1004,1,1,0,2,1,TA,5,Attchd,Fin,2,480,TA,TA,Y,3,2010,WD,Normal,149000
20,RL,13695,Reg,Inside,SawyerW,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,GLQ,646,468,1114,Ex,Y,SBrkr,1114,1114,1,1,1,3,1,Gd,6,Detchd,Unf,2,576,TA,TA,Y,6,2008,WD,Normal,159000
20,RL,7560,Reg,Inside,NAmes,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,LwQ,504,525,1029,TA,Y,SBrkr,1339,1339,0,1,0,3,1,TA,6,Attchd,Unf,1,294,TA,TA,Y,5,2009,COD,Abnorml,139000
60,RL,14215,IR1,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,Unf,0,1158,1158,Ex,Y,SBrkr,1158,2376,0,3,1,4,1,Gd,9,BuiltIn,RFn,3,853,TA,TA,Y,11,2006,New,Partial,325300
45,RM,7449,Reg,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,Unf,0,637,637,Ex,Y,FuseF,1108,1108,0,1,0,3,1,Gd,6,Attchd,Unf,1,280,TA,TA,N,6,2007,WD,Normal,139400
20,RL,9742,Reg,Inside,CollgCr,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,Unf,0,1777,1777,Ex,Y,SBrkr,1795,1795,0,2,0,3,1,Gd,7,Attchd,RFn,2,534,TA,TA,Y,9,2008,WD,Normal,230000
120,RM,4224,Reg,Inside,MeadowV,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0,TA,TA,PConc,Gd,GLQ,840,200,1040,TA,Y,SBrkr,1060,1060,1,1,0,3,1,TA,6,Attchd,Unf,2,572,TA,TA,Y,6,2007,WD,Normal,129900
20,RL,8246,IR1,Inside,Sawyer,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,Rec,188,204,1060,Ex,Y,SBrkr,1060,1060,1,1,0,3,1,Gd,6,Attchd,Unf,1,270,TA,TA,Y,5,2010,WD,Normal,154000
20,RL,14230,Reg,Corner,NridgHt,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,Gd,Unf,0,1566,1566,Ex,Y,SBrkr,1600,1600,0,2,0,3,1,Gd,7,Attchd,RFn,3,890,TA,TA,Y,7,2009,WD,Normal,256300
20,RL,7200,Reg,Corner,NAmes,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,BLQ,234,180,900,TA,Y,SBrkr,900,900,0,1,0,3,1,Gd,5,Detchd,Unf,2,576,TA,TA,Y,5,2010,WD,Normal,134800
